# Naval bases and naval harbours. Source: OpenStreetMap (ODbL), via tools/poi/fetch_osm.py.
# GENERATED by tools/poi/build_poi.py -- do not hand-edit; edit the generator or refetch.
# Codes are derived from the site name, not from UN/LOCODE: OSM carries no code for these.
# Sites without a Latin-script name are dropped rather than given an invented label.
# Columns: code,lat,lon,type,flags   (type 1 = port, flags 1 = military -> warship glyph)
code,lat,lon,type,flags
FUERZA,13.59524,-89.83588,1,1
FUJAIR,25.25195,56.36736,1,1
FULMAR,36.60888,-121.89183,1,1
GAETA,41.21607,13.57711,1,1
GANADO,21.52112,-76.99605,1,1
GARCIA,-7.31185,72.40965,1,1
GARNIS,57.67680,11.86091,1,1
GASSAM,14.67917,-17.43277,1,1
GATE,36.80294,-76.29597,1,1
GAVAZZ,-13.00700,-38.53025,1,1
GDYNIA,54.54234,18.55025,1,1
GHANTO,24.89002,54.84270,1,1
GHAZAO,35.10791,-1.83660,1,1
GIBRAL,36.13204,-5.35489,1,1
GLENVI,42.09166,-87.83782,1,1
GRANA,43.47325,-8.26375,1,1
GRANDE,40.44460,17.25204,1,1
GRESSE,18.46005,-66.11499,1,1
GRIFFO,48.43924,-89.21015,1,1
GRINDA,63.84738,-22.46138,1,1
GRODEN,53.53345,8.15930,1,1
GROUP,45.67963,0.22404,1,1
GROUPE,-5.90041,29.21739,1,1
GUAM,13.42585,144.64853,1,1
GUAM,13.47409,144.73995,1,1
GUANTA,19.92206,-75.15950,1,1
GUAQUI,-16.59062,-68.85615,1,1
GUARD,8.57138,81.19233,1,1
GUARDA,3.90487,-77.06125,1,1
GUARDA,21.55807,-77.26375,1,1
GUARDA,21.59159,-77.10883,1,1
GUARDA,21.63604,-77.36761,1,1
GUARDA,22.93957,-83.31386,1,1
GUARDA,23.09135,-82.47873,1,1
GUARIM,-27.15603,-109.43786,1,1
GUERRA,-22.95510,-43.16785,1,1
GUERRA,18.46833,-69.62305,1,1
GUERRE,23.99902,-98.78684,1,1
GULFPO,30.37658,-89.12399,1,1
GUNTER,30.36746,-88.56320,1,1
HABITA,31.01874,-114.85022,1,1
HAIFA,32.82997,34.99342,1,1
HALIBU,33.97013,-118.44679,1,1
HALIFA,44.65862,-63.58351,1,1
HALL,22.52263,89.58539,1,1
HALL,29.64856,-82.35113,1,1
HAMILT,32.85214,-79.94521,1,1
HAMMER,30.38790,-81.43492,1,1
HAMMER,41.52175,-70.66703,1,1
HARMON,13.52202,144.81539,1,1
HAROLD,30.67917,-86.88460,1,1
HASSLE,43.07223,-70.71103,1,1
HATUNC,-15.83906,-70.02113,1,1
HAULBO,51.84132,-8.30561,1,1
HAWKSB,36.60875,-121.89141,1,1
HEAD,38.58445,-77.18531,1,1
HEAD,44.61436,-63.42100,1,1
HEALY,47.58986,-122.34281,1,1
HECKSC,30.40239,-81.63326,1,1
HEIGHT,13.40232,144.68239,1,1
HELENA,36.82553,-76.28909,1,1
HELIPA,37.26838,-76.57403,1,1
HELIPO,30.17502,-85.75260,1,1
HELIPO,47.69994,-122.70369,1,1
HELIPO,47.98644,-122.22429,1,1
HERNAN,18.46041,-66.11499,1,1
