# Heliports carrying a real ICAO code. Source: OpenStreetMap (ODbL), via fetch_osm.py.
# GENERATED by tools/poi/build_poi.py -- do not hand-edit; edit the generator or refetch.
# Unnamed rooftop and hospital pads are deliberately excluded: a pictogram with no usable
# identifier beside it tells the wearer nothing.
# Columns: code,lat,lon,type,flags   (type 0 = airfield, flags 2 = helipad, +1 = military)
code,lat,lon,type,flags
ESHH,56.03737,12.68982,0,2
ESHI,56.02930,14.17186,0,2
ESHJ,57.76477,14.19452,0,2
ESHK,59.35112,18.03523,0,2
ESHM,57.87713,11.96817,0,2
ESHN,56.18325,15.60890,0,2
ESHQ,59.27479,15.22887,0,2
ESHS,57.68360,11.95662,0,2
ESHT,59.34076,18.10382,0,2
ESHV,59.37629,13.47607,0,2
ESHX,61.73057,17.09994,0,2
ESJA,60.68144,17.11819,0,2
ESJL,58.40163,15.61954,0,2
ESPG,65.80985,21.69212,0,2
ETEB,49.30957,10.63985,0,3
ETHH,50.69670,7.04513,0,2
EVAP,56.66603,23.77972,0,2
EVJC,56.60627,23.45212,0,2
EVLU,56.52113,27.69408,0,2
EYPH,54.48681,24.99733,0,2
FXLT,-28.99590,28.85612,0,2
FYLH,23.01857,113.44525,0,2
H046,54.61048,41.19148,0,2
H139,55.09770,60.74026,0,3
H143,55.08364,60.80036,0,3
H150,55.20886,59.70863,0,2
H177,55.39323,60.16209,0,2
H383,54.60199,39.67849,0,2
H388,54.33936,41.84143,0,2
H401,55.10051,60.53604,0,3
H405,53.82895,39.53394,0,2
H438,55.10564,60.50232,0,2
H444,54.90947,41.24356,0,2
H487,55.10841,60.53362,0,3
H502,54.28487,40.86900,0,2
H558,55.12601,60.56294,0,3
H602,55.95590,37.89233,0,2
H616,55.07303,38.85376,0,2
H618,55.11390,60.52922,0,3
H731,56.47469,40.67137,0,2
H945,55.88662,37.36750,0,2
HA0T,55.02756,60.42301,0,3
HA17,54.66493,39.99421,0,2
HA1I,55.85141,37.40231,0,2
HA2K,54.71073,39.92730,0,2
HA3C,55.15456,38.99543,0,2
