# Sea ports, keyed by UN/LOCODE. Source: marchah/sea-ports (MIT).
# Columns: code,lat,lon,type,flags
# flags is a bitfield: 1 = military, 2 = helipad (rotorcraft only). It picks the pictogram
# on the dial -- see render/SiteGlyph.kt -- and nothing else; ranking is by type alone.
# No record carries flag 1 yet. The source has no navy field, and a LOCODE names a place
# rather than a facility -- USSAN is San Diego the commercial port, which also happens to
# host a fleet, and JPYOK is Yokohama, not the naval base at Yokosuka (JPYOS). Flagging
# these from memory is how you ship a warship glyph on a container terminal, so they stay
# civil until someone checks each one. The warship silhouette is wired up and tested.
code,lat,lon,type,flags
ESPAL,41.85000,3.13000,1,0
ESPAS,43.32547,-1.93014,1,0
ESPMI,39.57000,2.63000,1,0
ESSCT,28.46363,-16.25185,1,0
ESSDR,43.46231,-3.80998,1,0
ESSNR,43.33000,-3.03000,1,0
ESSPC,28.68000,-17.77000,1,0
ESSVQ,37.38909,-5.98446,1,0
ESTAR,41.11888,1.24449,1,0
ESTBZ,41.69494,-1.54326,1,0
ESTCI,28.32000,-16.57000,1,0
ESTOT,40.81258,0.52144,1,0
ESVGO,42.24060,-8.72073,1,0
ESVLC,39.46991,-0.37629,1,0
ESZAZ,41.64882,-0.88909,1,0
FIHEL,60.17332,24.94102,1,0
FIHKO,59.82835,22.96586,1,0
FIHMN,60.57000,27.20000,1,0
FIKEM,65.73000,24.57000,1,0
FIKOK,63.83000,23.12000,1,0
FIKTK,60.47000,26.92000,1,0
FIMTL,61.59188,21.48228,1,0
FIOLU,65.01261,25.47145,1,0
FIOUL,65.02000,25.47000,1,0
FIPOR,61.48000,21.80000,1,0
FIRAU,61.13000,21.50000,1,0
FITKU,60.45000,22.28000,1,0
FITOR,65.85000,24.18000,1,0
FJLTK,-17.62000,177.45000,1,0
FJSUV,-18.12481,178.45008,1,0
FKPSY,-51.69771,-57.85166,1,0
FMPNI,6.85413,158.26238,1,0
FOTHO,62.02000,-6.77000,1,0
FRBAS,44.89984,-0.51624,1,0
FRBAY,43.49295,-1.47484,1,0
FRBES,48.40000,-4.48000,1,0
FRBOD,44.83779,-0.57918,1,0
FRBOL,50.72000,1.62000,1,0
FRCQF,50.95129,1.85869,1,0
FRDKK,51.03437,2.37678,1,0
FRDPE,49.92299,1.07748,1,0
FRFOS,43.43000,4.93000,1,0
FRHGT,47.76269,3.70240,1,0
FRHON,46.24757,5.13077,1,0
FRJAV,46.24757,5.13077,1,0
FRLCT,43.17365,5.60515,1,0
FRLEH,49.49437,0.10793,1,0
FRLPC,47.00000,-1.43000,1,0
FRLPE,46.16257,-1.20511,1,0
FRLRH,46.16033,-1.15114,1,0
FRLRT,47.74825,-3.37024,1,0
FRLTR,50.05917,1.38247,1,0
FRLVE,45.55000,-1.07000,1,0
FRMDH,48.64348,7.71444,1,0
FRMRS,43.30000,5.40000,1,0
FRMT7,44.62221,0.25769,1,0
FRMTX,47.33000,-2.15000,1,0
FRNTE,47.21837,-1.55362,1,0
FROR6,50.07879,3.68177,1,0
FRPAR,48.85661,2.35222,1,0
FRPIR,47.38000,-2.55000,1,0
FRPOV,42.52000,3.12000,1,0
FRSET,43.40788,3.70082,1,0
FRSNR,47.28000,-2.20000,1,0
FRTLN,43.12423,5.92800,1,0
FRURO,49.44323,1.09997,1,0
FRUSJ,43.95173,5.24185,1,0
GACLZ,-0.77265,8.78116,1,0
GALBV,0.41620,9.46727,1,0
GAOWE,0.33796,9.48328,1,0
GAPOG,-0.73510,8.75913,1,0
GBABD,57.13000,-2.10000,1,0
GBAVO,51.50000,-2.68000,1,0
GBBAD,51.38000,-3.25000,1,0
GBBDT,51.37000,1.42000,1,0
GBBEL,54.98000,-5.92000,1,0
GBBOC,51.62000,0.83000,1,0
GBBOE,53.47000,-3.02000,1,0
GBBOS,52.97894,-0.02658,1,0
GBBRK,53.40000,-3.03000,1,0
GBBRS,51.45451,-2.58791,1,0
GBBRT,54.08000,-0.20000,1,0
GBBRW,51.12789,-3.00363,1,0
GBCDF,51.50000,-3.20000,1,0
